ADHD EEG TDA Pipeline — Group Logistic Regression
Pipeline: No Filter
Method: Logistic regression based on Gracia-Tabuenca 2020 (eNeuro)
Model:  group ~ auc + slope + kurtosis
N:      121 subjects  (ADHD=61, TDC=60)

NOTE: Individual age/sex not available in this dataset.
      Gracia-Tabuenca 2020 included age/sex as covariates — results
      here are not directly comparable without those controls.
NOTE: p-values and CIs are unreliable with small samples (n < 30).
      Use cross-validated AUC as the primary summary metric.

measure      band    homer  predictor        coef        p    CI_lo    CI_hi   cv_AUC     n
------------------------------------------------------------------------------------------
coherence    delta   B0     auc             0.023    0.975      -1.433    1.480    0.532   121
coherence    delta   B0     slope           0.336    0.682      -1.270    1.942    0.532   121
coherence    delta   B0     kurtosis       -0.810    0.293      -2.321    0.700    0.532   121

coherence    theta   B0     auc             0.593    0.307      -0.546    1.732    0.586   121
coherence    theta   B0     slope           0.370    0.421      -0.531    1.271    0.586   121
coherence    theta   B0     kurtosis       -0.144    0.781      -1.156    0.869    0.586   121

coherence    alpha   B0     auc             0.842    0.066      -0.055    1.740    0.521   121
coherence    alpha   B0     slope           0.485    0.235      -0.316    1.287    0.521   121
coherence    alpha   B0     kurtosis        0.382    0.378      -0.467    1.230    0.521   121

coherence    beta    B0     auc             0.212    0.538      -0.463    0.887    0.482   121
coherence    beta    B0     slope           0.083    0.850      -0.780    0.947    0.482   121
coherence    beta    B0     kurtosis        0.538    0.261      -0.401    1.476    0.482   121

coherence    gamma   B0     auc            -0.220    0.242      -0.588    0.148    0.489   121
coherence    gamma   B0     slope           0.236    0.436      -0.358    0.830    0.489   121
coherence    gamma   B0     kurtosis       -0.248    0.394      -0.819    0.323    0.489   121

wpli         delta   B0     auc            -0.259    0.795      -2.212    1.695    0.501   121
wpli         delta   B0     slope           0.186    0.889      -2.434    2.806    0.501   121
wpli         delta   B0     kurtosis        0.258    0.653      -0.869    1.385    0.501   121

wpli         theta   B0     auc             0.425    0.451      -0.681    1.531    0.472   121
wpli         theta   B0     slope          -0.161    0.865      -2.022    1.700    0.472   121
