ADHD EEG TDA Pipeline — Group Logistic Regression
Pipeline: Surface Laplacian
Method: Logistic regression based on Gracia-Tabuenca 2020 (eNeuro)
Model:  group ~ auc + slope + kurtosis
N:      121 subjects  (ADHD=61, TDC=60)

NOTE: Individual age/sex not available in this dataset.
      Gracia-Tabuenca 2020 included age/sex as covariates — results
      here are not directly comparable without those controls.
NOTE: p-values and CIs are unreliable with small samples (n < 30).
      Use cross-validated AUC as the primary summary metric.

measure      band    homer  predictor        coef        p    CI_lo    CI_hi   cv_AUC     n
------------------------------------------------------------------------------------------
coherence    delta   B0     auc             0.329    0.487      -0.599    1.257    0.571   120
coherence    delta   B0     slope           0.310    0.295      -0.270    0.889    0.571   120
coherence    delta   B0     kurtosis       -0.213    0.605      -1.022    0.595    0.571   120

coherence    theta   B0     auc             0.274    0.522      -0.565    1.113    0.590   120
coherence    theta   B0     slope           0.193    0.447      -0.304    0.691    0.590   120
coherence    theta   B0     kurtosis       -0.259    0.522      -1.051    0.534    0.590   120

coherence    alpha   B0     auc            -0.418    0.325      -1.250    0.414    0.574   120
coherence    alpha   B0     slope           0.009    0.969      -0.470    0.488    0.574   120
coherence    alpha   B0     kurtosis       -0.857    0.043*     -1.687   -0.027    0.574   120

coherence    beta    B0     auc             0.133    0.710      -0.568    0.835    0.526   120
coherence    beta    B0     slope          -0.012    0.958      -0.442    0.419    0.526   120
coherence    beta    B0     kurtosis       -0.306    0.417      -1.045    0.433    0.526   120

coherence    gamma   B0     auc            -0.069    0.846      -0.764    0.626    0.494   120
coherence    gamma   B0     slope           0.050    0.865      -0.525    0.625    0.494   120
coherence    gamma   B0     kurtosis       -0.430    0.293      -1.232    0.372    0.494   120

wpli         delta   B0     auc            -0.955    0.076      -2.010    0.100    0.569   120
wpli         delta   B0     slope           0.631    0.362      -0.726    1.987    0.569   120
wpli         delta   B0     kurtosis        0.219    0.617      -0.640    1.078    0.569   120

wpli         theta   B0     auc            -1.006    0.042*     -1.977   -0.035    0.590   120
wpli         theta   B0     slope           1.344    0.066      -0.088    2.776    0.590   120
wpli         theta   B0     kurtosis       -0.797    0.186      -1.979    0.385    0.590   120

wpli         alpha   B0     auc            -0.400    0.394      -1.320    0.519    0.660   120
wpli         alpha   B0     slope           0.862    0.310      -0.801    2.524    0.660   120
wpli         alpha   B0     kurtosis       -1.137    0.112      -2.538    0.264    0.660   120

wpli         beta    B0     auc            -0.926    0.091      -1.998    0.146    0.671   120
wpli         beta    B0     slope          -0.212    0.804      -1.887    1.463    0.671   120
wpli         beta    B0     kurtosis        0.616    0.339      -0.647    1.880    0.671   120

wpli         gamma   B0     auc            -0.588    0.185      -1.458    0.282    0.571   120
wpli         gamma   B0     slope           0.930    0.181      -0.434    2.293    0.571   120
wpli         gamma   B0     kurtosis       -0.769    0.184      -1.902    0.365    0.571   120

correlation  delta   B0     auc             0.175    0.720      -0.782    1.131    0.549   120
correlation  delta   B0     slope           0.162    0.674      -0.591    0.915    0.549   120
