ADHD EEG TDA Pipeline — Group Logistic Regression
Pipeline: Surface Laplacian
Method: Logistic regression based on Gracia-Tabuenca 2020 (eNeuro)
Model:  group ~ auc + slope + kurtosis
N:      121 subjects  (ADHD=61, TDC=60)

NOTE: Individual age/sex not available in this dataset.
      Gracia-Tabuenca 2020 included age/sex as covariates — results
      here are not directly comparable without those controls.
NOTE: p-values and CIs are unreliable with small samples (n < 30).
      Use cross-validated AUC as the primary summary metric.

measure      band    homer  predictor        coef        p    CI_lo    CI_hi   cv_AUC     n
------------------------------------------------------------------------------------------
coherence    delta   B0     auc            -1.215    0.096      -2.644    0.214    0.586   120
coherence    delta   B0     slope          -0.350    0.600      -1.657    0.957    0.586   120
coherence    delta   B0     kurtosis       -1.297    0.058      -2.639    0.045    0.586   120

coherence    theta   B0     auc            -0.343    0.495      -1.328    0.642    0.426   120
coherence    theta   B0     slope           0.167    0.737      -0.807    1.141    0.426   120
coherence    theta   B0     kurtosis       -0.662    0.162      -1.589    0.265    0.426   120

coherence    alpha   B0     auc            -0.627    0.200      -1.588    0.333    0.433   120
coherence    alpha   B0     slope          -0.140    0.759      -1.038    0.757    0.433   120
coherence    alpha   B0     kurtosis       -0.342    0.441      -1.211    0.528    0.433   120

coherence    beta    B0     auc            -0.495    0.190      -1.236    0.245    0.558   120
coherence    beta    B0     slope          -0.159    0.687      -0.934    0.616    0.558   120
coherence    beta    B0     kurtosis        0.087    0.816      -0.642    0.816    0.558   120

coherence    gamma   B0     auc            -0.355    0.298      -1.023    0.313    0.550   120
coherence    gamma   B0     slope          -0.457    0.286      -1.296    0.383    0.550   120
coherence    gamma   B0     kurtosis        0.580    0.197      -0.300    1.460    0.550   120

wpli         delta   B0     auc             1.510    0.134      -0.463    3.484    0.590   120
wpli         delta   B0     slope          -1.887    0.192      -4.720    0.946    0.590   120
wpli         delta   B0     kurtosis        0.189    0.785      -1.169    1.546    0.590   120

wpli         theta   B0     auc             0.254    0.673      -0.926    1.434    0.643   120
wpli         theta   B0     slope           0.400    0.739      -1.956    2.756    0.643   120
wpli         theta   B0     kurtosis       -1.254    0.174      -3.064    0.555    0.643   120

wpli         alpha   B0     auc            -0.102    0.817      -0.969    0.765    0.581   120
wpli         alpha   B0     slope           0.204    0.823      -1.584    1.992    0.581   120
wpli         alpha   B0     kurtosis       -0.587    0.448      -2.103    0.928    0.581   120

wpli         beta    B0     auc             0.022    0.961      -0.847    0.890    0.633   120
wpli         beta    B0     slope          -0.948    0.203      -2.409    0.512    0.633   120
wpli         beta    B0     kurtosis        0.393    0.466      -0.663    1.449    0.633   120

wpli         gamma   B0     auc            -0.624    0.180      -1.536    0.288    0.617   120
wpli         gamma   B0     slope           0.937    0.263      -0.703    2.578    0.617   120
wpli         gamma   B0     kurtosis       -1.024    0.179      -2.515    0.468    0.617   120

correlation  delta   B0     auc            -0.896    0.157      -2.137    0.345    0.592   120
correlation  delta   B0     slope           0.326    0.659      -1.121    1.773    0.592   120
correlation  delta   B0     kurtosis       -1.742    0.024*     -3.254   -0.230    0.592   120

correlation  theta   B0     auc            -0.170    0.721      -1.105    0.764    0.394   120
correlation  theta   B0     slope           0.479    0.382      -0.596    1.555    0.394   120
correlation  theta   B0     kurtosis       -0.839    0.108      -1.861    0.183    0.394   120

correlation  alpha   B0     auc            -0.442    0.403      -1.479    0.595    0.374   120
correlation  alpha   B0     slope           0.403    0.505      -0.781    1.587    0.374   120
correlation  alpha   B0     kurtosis       -0.754    0.192      -1.886    0.379    0.374   120

correlation  beta    B0     auc            -0.163    0.636      -0.840    0.513    0.482   120
correlation  beta    B0     slope           0.517    0.303      -0.467    1.501    0.482   120
correlation  beta    B0     kurtosis       -0.412    0.364      -1.300    0.477    0.482   120

correlation  gamma   B0     auc            -0.439    0.169      -1.065    0.187    0.463   120
correlation  gamma   B0     slope          -0.116    0.852      -1.332    1.100    0.463   120
correlation  gamma   B0     kurtosis        0.022    0.970      -1.138    1.182    0.463   120

coherence    delta   B1     auc            -0.128    0.617      -0.632    0.375    0.574   120
coherence    delta   B1     slope           0.384    0.131      -0.115    0.884    0.574   120
